Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId	SourceDisplayName
FAQ for Azure Cognitive Services containers	FAQ  11 contributors     Feedback	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[{"DisplayOrder":0,"QnaId":2,"Qna":null,"DisplayText":"General questions"},{"DisplayOrder":1,"QnaId":9,"Qna":null,"DisplayText":"Versioning"},{"DisplayOrder":2,"QnaId":13,"Qna":null,"DisplayText":"Technical questions"}]	1	CS FAQ
General questions		https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[{"DisplayOrder":0,"QnaId":3,"Qna":null,"DisplayText":"What is available?"},{"DisplayOrder":1,"QnaId":4,"Qna":null,"DisplayText":"Is there any difference between the Cognitive Services cloud and the containers?"},{"DisplayOrder":2,"QnaId":5,"Qna":null,"DisplayText":"How do I access and use a gated preview container?"},{"DisplayOrder":3,"QnaId":6,"Qna":null,"DisplayText":"Will containers be available for all Cognitive Services offerings, and what's the next set of containers I should expect?"},{"DisplayOrder":4,"QnaId":7,"Qna":null,"DisplayText":"What will the service-level agreement (SLA) be for Cognitive Services containers?"},{"DisplayOrder":5,"QnaId":8,"Qna":null,"DisplayText":"Are these containers available in Sovereign clouds?"}]	2	CS FAQ
What is available?	Azure Cognitive Services containers allow developers to use the same intelligent APIs that are available in Azure, but with the [benefits](../cognitive-services-container-support#features-and-benefits) of containerization. Some containers are available as a gated preview that might require an application to access. Other containers are publicly available as an ungated preview, or are generally available. You can find a full list of containers and their availability in the [Container support in Azure Cognitive Services](https://learn.microsoft.com/en-us/azure/cognitive-services/cognitive-services-container-support) article. You can also view the containers in [Docker Hub](https://hub.docker.com/_/microsoft-azure-cognitive-services).	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	3	CS FAQ
Is there any difference between the Cognitive Services cloud and the containers?	Cognitive Services containers are an alternative to the Cognitive Services cloud. Containers offer the same capabilities as the corresponding cloud services. Customers can deploy the containers on-premises or in Azure. The core AI technology, pricing tiers, API keys, and API signature are the same between the container and the corresponding cloud services. There are [features and benefits](../cognitive-services-container-support#features-and-benefits) for choosing containers over their cloud service equivalent.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq	system_metadata_qna_edited_manually:true	[]	False	[{"DisplayOrder":0,"QnaId":6,"Qna":null,"DisplayText":"Will container be available to all services?"}]	4	CS FAQ
what is the difference with containers?	Cognitive Services containers are an alternative to the Cognitive Services cloud. Containers offer the same capabilities as the corresponding cloud services. Customers can deploy the containers on-premises or in Azure. The core AI technology, pricing tiers, API keys, and API signature are the same between the container and the corresponding cloud services. There are [features and benefits](../cognitive-services-container-support#features-and-benefits) for choosing containers over their cloud service equivalent.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq	system_metadata_qna_edited_manually:true	[]	False	[{"DisplayOrder":0,"QnaId":6,"Qna":null,"DisplayText":"Will container be available to all services?"}]	4	CS FAQ
How do I access and use a gated preview container?	Previously, gated preview containers were hosted on the `containerpreview.azurecr.io` repository. As of September 22, 2020, these containers are hosted on the Microsoft Container Registry. Downloading them doesn't require you to use the `docker login` command. You'll be able to run a gated preview container if your Azure resource was created with the approved Azure subscription ID. You won't be able to run the container if your Azure subscription has not been approved after completion of the [request form](https://aka.ms/csgate).	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	5	CS FAQ
Will containers be available for all Cognitive Services offerings, and what's the next set of containers I should expect?	We'd like to make more Cognitive Services offerings available as containers. Contact your local Microsoft account manager to get updates on new container releases and other Cognitive Services announcements.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq	system_metadata_qna_edited_manually:true	[]	False	[]	6	CS FAQ
What will the service-level agreement (SLA) be for Cognitive Services containers?	Important\n\nTo learn more about service-level agreements for Cognitive Services, [visit our SLA page](https://azure.microsoft.com/support/legal/sla/cognitive-services/v1_1/).\n\nCognitive Services provides SLAs which can be viewed on our SLA page at the link provided above.\n\nHowever, Cognitive Services in containers do not provide an SLA. Customers control Cognitive Services container configurations of resources, so Microsoft won't offer an SLA for general availability (GA). Customers are free to deploy containers on-premises and define the host environments.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq	system_metadata_qna_edited_manually:true	[]	False	[]	7	CS FAQ
what is the SLA?	Important\n\nTo learn more about service-level agreements for Cognitive Services, [visit our SLA page](https://azure.microsoft.com/support/legal/sla/cognitive-services/v1_1/).\n\nCognitive Services provides SLAs which can be viewed on our SLA page at the link provided above.\n\nHowever, Cognitive Services in containers do not provide an SLA. Customers control Cognitive Services container configurations of resources, so Microsoft won't offer an SLA for general availability (GA). Customers are free to deploy containers on-premises and define the host environments.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq	system_metadata_qna_edited_manually:true	[]	False	[]	7	CS FAQ
Are these containers available in Sovereign clouds?	Cognitive Services containers can be used in the Sovereign clouds. The containers can be run and can connect to the billing endpoint in these clouds, but container images will need to be pulled from the Public cloud container registry.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	8	CS FAQ
Versioning		https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[{"DisplayOrder":0,"QnaId":10,"Qna":null,"DisplayText":"How are containers updated to the latest version?"},{"DisplayOrder":1,"QnaId":11,"Qna":null,"DisplayText":"What versions will be supported?"},{"DisplayOrder":2,"QnaId":12,"Qna":null,"DisplayText":"How are updates versioned?"}]	9	CS FAQ
How are containers updated to the latest version?	Customers can choose when to update the containers that they've deployed. Containers will be marked with standard [Docker tags](https://docs.docker.com/engine/reference/commandline/tag/) such as `latest` to indicate the most recent version. We encourage customers to pull the latest versions of containers as they're released. For details on how to get notified when an image is updated, see [Azure Container Registry webhooks](https://learn.microsoft.com/en-us/azure/container-registry/container-registry-webhook).	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	10	CS FAQ
What versions will be supported?	The current and last major version of the container will be supported. However, we encourage customers to stay current to get the latest technology.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	11	CS FAQ
How are updates versioned?	Major version changes indicate that there's a breaking change to the API signature. We anticipate that this will generally coincide with major version changes to the corresponding Cognitive Services cloud offering. Minor version changes indicate bug fixes, model updates, or new features that don't make a breaking change to the API signature.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	12	CS FAQ
Technical questions		https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[{"DisplayOrder":0,"QnaId":14,"Qna":null,"DisplayText":"How can I diagnose potential errors in my deployment environment?"},{"DisplayOrder":1,"QnaId":15,"Qna":null,"DisplayText":"How should I run the Cognitive Services containers on IoT devices?"},{"DisplayOrder":2,"QnaId":16,"Qna":null,"DisplayText":"Are these containers compatible with OpenShift?"},{"DisplayOrder":3,"QnaId":17,"Qna":null,"DisplayText":"How do I provide product feedback and feature recommendations?"},{"DisplayOrder":4,"QnaId":18,"Qna":null,"DisplayText":"What status messages and errors do Cognitive Services containers return?"},{"DisplayOrder":5,"QnaId":19,"Qna":null,"DisplayText":"How do I get support?"},{"DisplayOrder":6,"QnaId":20,"Qna":null,"DisplayText":"How does billing work?"},{"DisplayOrder":7,"QnaId":21,"Qna":null,"DisplayText":"What is the current support warranty for containers?"},{"DisplayOrder":8,"QnaId":22,"Qna":null,"DisplayText":"What happens to Cognitive Services containers when internet connectivity is lost?"},{"DisplayOrder":9,"QnaId":23,"Qna":null,"DisplayText":"How long can the container operate without being connected to Azure?"},{"DisplayOrder":10,"QnaId":24,"Qna":null,"DisplayText":"What hardware is required to run these containers?"},{"DisplayOrder":11,"QnaId":25,"Qna":null,"DisplayText":"Are these containers currently supported on Windows?"},{"DisplayOrder":12,"QnaId":26,"Qna":null,"DisplayText":"How do Cognitive Services containers compare to AWS and Google offerings?"},{"DisplayOrder":13,"QnaId":27,"Qna":null,"DisplayText":"What compliance certifications do containers have?"},{"DisplayOrder":14,"QnaId":28,"Qna":null,"DisplayText":"What regions are Cognitive Services containers available in?"}]	13	CS FAQ
How can I diagnose potential errors in my deployment environment?	If you're having trouble running a Cognitive Services container, you can try using the Microsoft diagnostics container. Use this container to diagnose common errors in your deployment environment that might prevent Cognitive Services containers from functioning as expected.\n\nTo get the container, use the following `docker pull` command:\n\n`docker pull mcr.microsoft.com/azure-cognitive-services/diagnostic`\n\nThen run the container. Replace `{ENDPOINT_URI}` with your endpoint, and replace `{API_KEY}` with your key to your resource:\n\n`docker run --rm mcr.microsoft.com/azure-cognitive-services/diagnostic \eula=accept \Billing={ENDPOINT_URI} \ApiKey={API_KEY}`\n\nThe container will test for network connectivity to the billing endpoint.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	14	CS FAQ
How should I run the Cognitive Services containers on IoT devices?	Whether you don't have a reliable internet connection, you want to save on bandwidth cost, you have low-latency requirements, or you're dealing with sensitive data that needs to be analyzed on-site, [Azure IoT Edge with Cognitive Services containers](https://azure.microsoft.com/blog/running-cognitive-services-on-iot-edge/) gives you consistency with the cloud.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	15	CS FAQ
Are these containers compatible with OpenShift?	We don't test containers with OpenShift, but generally, Cognitive Services containers should run on any platform that supports Docker images. If you're using OpenShift, we recommend running the containers as `root-user`.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	16	CS FAQ
